"Mean fitness"	"GRN"	"Topology"
0.7867235013834094	1	1
0.8039235310813873	2	1
0.8056498289978531	3	1
0.7896989395309358	4	1
0.7952804044598423	5	1
0.6414034001862086	6	1
0.7588485119283278	7	1
0.7643706067210013	8	1
0.6702426118327776	9	1
0.8199827952900659	10	1
0.7410699382430843	11	1
0.7608394557595892	12	1
0.7804200607693355	13	1
0.7893093488915386	14	1
0.8203068776199923	15	1
0.8021507510943429	16	1
0.5181834970710613	17	1
0.6627790096755285	18	1
0.776825740765544	19	1
0.7756097626084123	20	1
0.8010222726768831	21	1
0.7842425987454853	22	1
0.7775594795121199	23	1
0.7625120111528161	24	1
0.8319870270407718	25	1
0.8054292367861339	26	1
0.7907509656188931	27	1
0.4207825882361354	28	1
0.7866502167221554	29	1
0.71152355970114	30	1
0.4625911970394412	31	1
0.7691912409042397	32	1
0.7110400157595879	33	1
0.796673874964982	34	1
0.7530296868398313	35	1
0.7407103716939325	36	1
0.7520156324236873	37	1
0.6159838529416952	38	1
0.7573457340863783	39	1
0.7377621521691452	40	1
0.7847770940093571	41	1
0.8157232075673471	42	1
0.7704066965798141	43	1
0.806928685921447	44	1
0.6787001117095437	45	1
0.7874940404681506	46	1
0.7430824395642261	47	1
0.7812773333585219	48	1
0.790007761042506	49	1
0.7940991797720255	50	1
0.7934920118872135	51	1
0.7964599772794837	52	1
0.696197433636774	53	1
0.7807210679858673	54	1
0.8077866771884256	55	1
0.8051027842295514	56	1
0.7821043110158024	57	1
0.8019376472423337	58	1
0.8039348323120709	59	1
0.7393434894726361	60	1
0.7813128781558026	61	1
0.7870922087190872	62	1
0.7042837354180529	63	1
0.7942706938375628	64	1
0.7252398899182368	65	1
0.800344163540767	66	1
0.8001891021867084	67	1
0.7085625173191937	68	1
0.753637999042094	69	1
0.7664328204101167	70	1
0.7433058380148765	71	1
0.3975878087592067	72	1
0.7536293230414919	73	1
0.7790821530717595	74	1
0.819505707140872	75	1
0.7406525759630693	76	1
0.7076406376179375	77	1
0.7546878124639025	78	1
0.6747573447271293	79	1
0.6778912804576528	80	1
0.7671169655128128	81	1
0.7772771920668675	82	1
0.7884618105842196	83	1
0.7767516660190753	84	1
0.7750402168214632	85	1
0.7661269694665307	86	1
0.7627852192160904	87	1
0.8202627410393104	88	1
0.7852584148522749	89	1
0.7791386961770322	90	1
0.8122310099050561	91	1
0.793402461271585	92	1
0.7944743905914808	93	1
0.7941804880416419	94	1
0.7913508857101467	95	1
0.8132806486331041	96	2
0.5978030834534619	97	2
0.7873773788513256	98	2
0.7993738653583727	99	2
0.7087414685253651	100	2
0.790969510382247	101	2
0.7725675609572498	102	2
0.6533693034338178	103	2
0.8070084528720314	104	2
0.7900684745707701	105	2
0.7510539630347618	106	2
0.7940997678645403	107	2
0.7414194190434266	108	2
0.8060063442058507	109	2
0.8071335364889615	110	2
0.740199850384787	111	2
0.7612309819670413	112	2
0.8247112568228772	113	2
0.7968664758897482	114	2
0.7026744956963527	115	2
0.770632204604097	116	2
0.816238560115838	117	2
0.8121648369069251	118	2
0.7968687849340474	119	2
0.5920320073680234	120	2
