"Fitness"	"GRN"	"Topology"
0.951717195362644	1	1
0.9814099209391035	2	1
0.9888733888710526	3	1
0.9441096537101372	4	1
0.9591141740455472	5	1
0	6	1
0.9405600350652766	7	1
0	8	1
0	9	1
0.9554992349153539	10	1
0.9554830253036303	11	1
0	12	1
0.9777021208402362	13	1
0.9480681695962867	14	1
0.9703496471975098	15	1
0.9592242283926457	16	1
0	17	1
0	18	1
0	19	1
0.9294599087887095	20	1
0.9404993899451468	21	1
0	22	1
0.9518076453417385	23	1
0	24	1
0.9850724331646176	25	1
0.970330422246185	26	1
0.9666472521333549	27	1
0.9517491270959412	28	1
0.9740595749611046	29	1
0	30	1
0	31	1
0	32	1
0	33	1
0.9369205884711078	34	1
0.9702022525473943	35	1
0	36	1
0	37	1
0	38	1
0	39	1
0	40	1
0	41	1
0.9437775017760578	42	1
0.9665725748222319	43	1
0	44	1
0	45	1
0	46	1
0.9740133250502484	47	1
0.9554962239522147	48	1
0.9813414766402199	49	1
0	50	1
0.9851751242130482	51	1
0.9184803903254504	52	1
0	53	1
0	54	1
0	55	1
0	56	1
0	57	1
0.9444251801301627	58	1
0	59	1
0	60	1
0.9775781006613659	61	1
0	62	1
0	63	1
0.9620278898921755	64	1
0.9184735664983004	65	1
0	66	1
0.929553588352266	67	1
0	68	1
0	69	1
0	70	1
0	71	1
0.951841288121981	72	1
0.985129186677248	73	1
0.9516872318919727	74	1
0	75	1
0.9703613627148399	76	1
0.9925548249203991	77	1
0	78	1
0	79	1
0	80	1
0.9851639154465983	81	1
0	82	1
0.9851357284399428	83	1
0.9665808332326826	84	1
0.9666465342240618	85	1
0.9774615219809397	86	1
0.9402538358002228	87	1
0	88	1
0.9480458142074007	89	1
0.9702803737980183	90	1
0	91	1
0.9364242006829363	92	1
0	93	1
0.9407074595779868	94	1
0.962925048152558	95	1
0.9666481553546158	96	2
0	97	2
0	98	2
0.9887887509563243	99	2
0.985064254283785	100	2
0.985145458958786	101	2
0.9663573511200922	102	2
0	103	2
0	104	2
0	105	2
0.9294028318168401	106	2
0.974019927768644	107	2
0.9628899586626933	108	2
0.9835535245578274	109	2
0.9703576584819817	110	2
0	111	2
0	112	2
0	113	2
0.9740531395208811	114	2
0.9776166137483558	115	2
0	116	2
0.9887692866829269	117	2
0.9795226664706075	118	2
0.9517415979763164	119	2
0	120	2
0	121	2
0.9740555990140857	122	2
0	123	2
0.9702650862069403	124	2
0.9665189770758621	125	2
0.9518076144355958	126	2
0	127	2
0	128	2
0.9887745376099035	129	2
0.9327997934694677	130	2
0	131	2
0	132	2
0.9518443470143335	133	2
0	134	2
0	135	2
0.9443856287329531	136	2
0	137	2
0.9739982613674515	138	2
0.9925010966949954	139	2
0.9591758317752885	140	2
0	141	2
0.9554565892048857	142	2
0.988757085718552	143	2
0.9666512283708194	144	2
0.9887818139967254	145	2
0	146	2
0.9555367282243776	147	2
0	148	2
0	149	2
0	150	2
0	151	2
0.9555208229797425	152	2
0.9703176899732959	153	2
0.9887346154155984	154	2
0.962844653242837	155	2
0	156	2
0.9444332258038405	157	2
0.9724709460770861	158	2
0.966633551232567	159	3
0.999923256816895	160	3
0.9666085829173593	161	3
0	162	3
0	163	3
0	164	3
0.2270569909595936	165	3
0.9665921477793729	166	3
0.9665989770474774	167	3
0.9665846622701222	168	3
0	169	3
0	170	3
0.9332521540745763	171	3
0	172	3
0	173	3
0	174	3
0.9332205696649406	175	3
0.9665528513720496	176	3
0.8574329011032266	177	3
0.9333255021427339	178	3
0.9332499074379459	179	3
0.933316960375396	180	3
0	181	3
0	182	3
0	183	3
0	184	3
0.9671213862473694	185	3
0	186	3
0.8999831274913713	187	3
0.9332101769512519	188	3
0	189	3
0	190	3
0.9332820585875684	191	3
0	192	3
0.5941566238888554	193	3
0	194	3
0.9332395206746944	195	3
0	196	3
0.9661323513846245	197	3
0.9665387938957141	198	3
0.9664921424107193	199	3
0	200	3
0.9666208274371612	201	3
